Index,Numero generado
1,43
2,39
3,35
4,40
5,43
6,41
7,44
8,40
9,40
10,37
11,38
12,47
13,35
14,43
15,57
16,49
17,41
18,47
19,52
20,37
21,44
22,40
23,46
24,37
25,44
26,34
27,44
28,50
29,33
30,35
31,43
32,39
33,31
34,34
35,41
36,37
37,47
38,40
39,30
40,45
41,48
42,42
43,51
44,39
45,47
46,45
47,37
48,30
49,39
50,37
51,45
52,42
53,42
54,36
55,43
56,25
57,50
58,52
59,42
60,48
61,34
62,37
63,37
64,43
65,45
66,45
67,41
68,35
69,37
70,39
71,42
72,40
73,42
74,47
75,35
76,30
77,37
78,51
79,36
80,39
81,34
82,43
83,38
84,47
85,45
86,33
87,39
88,37
89,32
90,36
91,42
92,36
93,40
94,38
95,37
96,34
97,41
98,41
99,55
100,41
101,45
102,50
103,28
104,45
105,42
106,46
107,46
108,44
109,51
110,34
111,44
112,34
113,44
114,39
115,35
116,51
117,39
118,43
119,45
120,44
121,35
122,47
123,45
124,43
125,28
126,42
127,42
128,47
129,38
130,35
131,37
132,32
133,33
134,37
135,35
136,41
137,34
138,45
139,38
140,37
141,42
142,40
143,48
144,33
145,45
146,43
147,32
148,29
149,45
150,38
151,36
152,32
153,36
154,44
155,31
156,40
157,44
158,33
159,39
160,33
161,30
162,44
163,35
164,35
165,41
166,31
167,45
168,33
169,37
170,36
171,40
172,37
173,50
174,39
175,48
176,38
177,28
178,39
179,48
180,32
181,39
182,50
183,40
184,48
185,39
186,52
187,36
188,38
189,29
190,40
191,36
192,39
193,41
194,38
195,39
196,41
197,41
198,33
199,38
200,35
201,54
202,45
203,38
204,25
205,39
206,46
207,44
208,38
209,34
210,35
211,50
212,42
213,39
214,31
215,36
216,40
217,39
218,29
219,46
220,35
221,44
222,46
223,51
224,47
225,37
226,45
227,36
228,38
229,41
230,39
231,41
232,32
233,48
234,36
235,42
236,40
237,32
238,45
239,41
240,45
241,37
242,39
243,35
244,45
245,45
246,32
247,35
248,44
249,45
250,32
251,46
252,34
253,36
254,45
255,49
256,39
257,39
258,40
259,39
260,40
261,52
262,52
263,39
264,46
265,36
266,33
267,41
268,37
269,31
270,43
271,41
272,37
273,44
274,41
275,34
276,40
277,38
278,36
279,26
280,37
281,41
282,36
283,55
284,51
285,43
286,43
287,42
288,35
289,36
290,33
291,47
292,45
293,42
294,43
295,59
296,48
297,34
298,43
299,49
300,49
301,31
302,34
303,34
304,37
305,44
306,42
307,36
308,47
309,43
310,37
311,47
312,30
313,35
314,38
315,41
316,38
317,42
318,45
319,41
320,38
321,37
322,34
323,40
324,46
325,36
326,37
327,39
328,42
329,54
330,42
331,56
332,41
333,40
334,42
335,41
336,33
337,34
338,26
339,34
340,33
341,37
342,35
343,39
344,47
345,44
346,33
347,43
348,44
349,36
350,48
351,39
352,39
353,32
354,30
355,40
356,33
357,43
358,41
359,47
360,39
361,46
362,44
363,42
364,43
365,44
366,51
367,30
368,35
369,27
370,38
371,47
372,45
373,49
374,44
375,29
376,32
377,40
378,32
379,31
380,45
381,46
382,38
383,39
384,41
385,40
386,41
387,42
388,36
389,45
390,42
391,39
392,50
393,29
394,52
395,46
396,29
397,50
398,33
399,53
400,39
401,59
402,41
403,53
404,37
405,39
406,43
407,40
408,39
409,33
410,55
411,37
412,42
413,48
414,47
415,52
416,44
417,42
418,47
419,49
420,29
421,37
422,41
423,51
424,53
425,30
426,38
427,44
428,50
429,33
430,50
431,32
432,39
433,52
434,39
435,47
436,39
437,26
438,48
439,41
440,39
441,46
442,44
443,40
444,42
445,40
446,44
447,45
448,24
449,51
450,56
451,37
452,39
453,24
454,47
455,41
456,44
457,30
458,44
459,50
460,33
461,36
462,36
463,32
464,29
465,35
466,32
467,32
468,53
469,33
470,50
471,38
472,30
473,42
474,40
475,40
476,30
477,46
478,37
479,36
480,48
481,44
482,28
483,42
484,44
485,34
486,40
487,59
488,39
489,36
490,36
491,53
492,41
493,38
494,48
495,48
496,44
497,29
498,43
499,49
500,33
501,27
502,39
503,31
504,50
505,45
506,34
507,36
508,38
509,31
510,33
511,37
512,46
513,47
514,44
515,36
516,35
517,36
518,51
519,43
520,28
521,32
522,38
523,39
524,38
525,39
526,44
527,40
528,34
529,49
530,44
531,46
532,33
533,31
534,50
